is_sleeping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_num
0,91.34,-139.79,116.68,1311.78,-2028.38,272.44,0.98128384,-0.1479987,0.074726276,0.09795096,-2.4022,1.9394001,5.1446004,1
0,135.04,-207.36,125.3,1310.42,-2026.3,250.48,0.9596702,-0.18971683,0.097265825,0.18324843,-2.4022,1.9394001,5.1446004,1
0,178.69,-274.86,133.19,1309.06,-2024.22,228.56,0.9284692,-0.229536,0.11882891,0.26671705,-2.4022,1.9394001,5.1446004,1
0,200.5,-308.58,136.86,1308.38,-2023.18,217.6,0.90936613,-0.24861208,0.12918161,0.30750188,-2.4022,1.9394001,5.1446004,1
0,265.86,-409.65,146.79,1306.34,-2020.06,184.77,0.8386391,-0.30192363,0.15820569,0.42484993,-2.4022,1.9394001,5.1446004,1
0,309.37,-476.95,152.49,1304.98,-2017.98,162.91,0.7809072,-0.33377463,0.17561479,0.49793357,-2.4022,1.9394001,5.1446004,1
0,352.84,-544.17,157.47,1303.63,-2015.9,141.07,0.7153778,-0.36228085,0.19126518,0.56604314,-2.4022,1.9394001,5.1446004,1
0,396.27,-611.32,161.71,1302.31,-2013.82,119.25,0.64270043,-0.38717252,0.20501111,0.6284934,-2.4022,1.9394001,5.1446004,1
0,461.33,-711.92,166.72,1300.33,-2010.74,86.56,0.52188116,-0.4171893,0.22174586,0.7102267,-2.4022,1.9394001,5.1446004,1
0,504.65,-778.9,169.16,1299.01,-2008.7,64.8,0.43465236,-0.43202505,0.23015635,0.75594956,-2.4022,1.9394001,5.1446004,1
0,504.65,-778.9,169.16,1299.01,-2008.7,64.8,0.43465236,-0.43202505,0.23015635,0.75594956,-2.4022,1.9394001,5.1446004,1
0,601.95,-929.36,171.97,1296.04,-2004.11,15.91,0.22389299,-0.44947186,0.24057919,0.83064353,-2.4022,1.9394001,5.1446004,1
0,645.12,-996.12,172.05,1294.72,-2002.07,-5.75,0.12594473,-0.4499682,0.24133445,0.8505435,-2.4022,1.9394001,5.1446004,1
0,688.25,-1062.82,171.41,1293.4,-2000.03,-27.39,0.026739392,-0.44596523,0.23967285,0.8619495,-2.4022,1.9394001,5.1446004,1
0,731.34,-1129.44,170.05,1292.08,-1997.99,-49.0,-0.07273564,-0.4375062,0.23561597,0.8647445,-2.4022,1.9394001,5.1446004,1
0,752.86,-1162.73,169.1,1291.42,-1996.97,-59.8,-0.122265436,-0.4316312,0.23269738,0.8629007,-2.4022,1.9394001,5.1446004,1
0,817.38,-1262.49,165.17,1289.44,-1993.91,-92.16,-0.26851892,-0.40760273,0.22050506,0.8444733,-2.4022,1.9394001,5.1446004,1
0,860.33,-1328.91,161.65,1288.12,-1991.87,-113.72,-0.3628689,-0.38646042,0.2095967,0.82161045,-2.4022,1.9394001,5.1446004,1
0,903.24,-1395.26,157.41,1286.8,-1989.83,-135.24,-0.45359352,-0.3614608,0.19660063,0.790536,-2.4022,1.9394001,5.1446004,1
0,924.68,-1428.41,155.02,1286.14,-1988.81,-146.0,-0.4973131,-0.34759074,0.18935542,0.7720135,-2.4022,1.9394001,5.1446004,1
0,988.93,-1527.77,146.77,1284.16,-1985.75,-178.23,-0.6205901,-0.300904,0.16485748,0.70508635,-2.4022,1.9394001,5.1446004,1
0,1021.02,-1577.39,142.05,1283.17,-1984.22,-194.33,0.6771571,0.27495492,-0.15118706,-0.66558284,-2.4022,1.9394001,5.1446004,1
0,1085.12,-1676.51,131.4,1281.19,-1981.16,-226.49,0.77859414,0.21857372,-0.121364504,-0.5755757,-2.4022,1.9394001,5.1446004,1
0,1106.46,-1709.52,127.49,1280.53,-1980.14,-237.2,0.8086183,0.19862367,-0.11078527,-0.54259723,-2.4022,1.9394001,5.1446004,1
0,1191.73,-1841.38,110.07,1277.89,-1976.06,-279.98,0.9078436,0.114372805,-0.065970525,-0.39797837,-2.4022,1.9394001,5.1446004,1
0,1234.3,-1907.2,100.29,1276.57,-1974.02,-301.34,0.9440757,0.07031873,-0.042459916,-0.31933272,-2.4022,1.9394001,5.1446004,1
0,1253.02,-1853.47,131.84,455.82,1952.46,1024.0,0.93632996,0.14020857,0.048680115,-0.3182106,4.99,3.3054001,0.4156,0
0,1268.21,-1788.43,165.5,455.34,1950.46,1001.28,0.91953474,0.19941132,0.1273258,-0.3138138,4.99,3.3054001,0.4156,0
0,1283.37,-1723.45,198.41,454.86,1948.46,978.6,0.8935526,0.2566234,0.20469283,-0.30628267,4.99,3.3054001,0.4156,0
0,1298.53,-1658.55,230.56,454.38,1946.46,955.93,0.85863864,0.31127286,0.2800207,-0.29569802,4.99,3.3054001,0.4156,0
0,1313.66,-1593.71,261.95,453.9,1944.46,933.29,0.8151498,0.3628095,0.3525486,-0.28215164,4.99,3.3054001,0.4156,0
0,1328.78,-1528.93,292.59,453.42,1942.46,910.67,0.7635191,0.41072094,0.4215483,-0.26578915,4.99,3.3054001,0.4156,0
0,1347.66,-1448.06,329.82,452.82,1939.96,882.42,0.6883162,0.46479318,0.50180703,-0.24161498,4.99,3.3054001,0.4156,0
0,1362.74,-1383.44,358.77,452.34,1937.96,859.86,0.6203601,0.5028644,0.56042707,-0.21955018,4.99,3.3054001,0.4156,0
0,1377.82,-1318.88,386.96,451.86,1935.96,837.31,0.54620636,0.535913,0.6134492,-0.1952843,4.99,3.3054001,0.4156,0
0,1385.34,-1286.63,400.77,451.62,1934.96,826.05,0.5070346,0.5504467,0.63769436,-0.18240148,4.99,3.3054001,0.4156,0
0,1407.9,-1189.97,441.09,450.9,1932.0,792.29,0.38232258,0.5856641,0.70064247,-0.1411635,4.99,3.3054001,0.4156,0
0,1422.92,-1125.61,467.04,450.42,1930.04,769.81,0.2942306,0.6018754,0.7339367,-0.111853436,4.99,3.3054001,0.4156,0
0,1437.92,-1061.31,492.23,449.94,1928.08,747.36,0.20319307,0.6120717,0.75990164,-0.08142666,4.99,3.3054001,0.4156,0
0,1452.92,-997.08,516.67,449.46,1926.12,724.92,0.1101271,0.61615556,0.778271,-0.050185304,4.99,3.3054001,0.4156,0
0,1467.88,-932.92,540.36,448.98,1924.16,702.52,0.015965985,0.6140786,0.78886783,-0.018442197,4.99,3.3054001,0.4156,0
0,1482.84,-868.82,563.31,448.5,1922.2,680.13,-0.07835702,0.605873,0.7915783,0.013484378,4.99,3.3054001,0.4156,0
0,1501.51,-788.79,590.94,447.9,1919.75,652.18,-0.19505233,0.5871045,0.78386,0.05316319,4.99,3.3054001,0.4156,0
0,1523.89,-692.89,622.58,447.18,1916.81,618.69,-0.3309046,0.5525291,0.75847733,0.09962883,4.99,3.3054001,0.4156,0
0,1538.78,-629.03,642.74,446.7,1914.85,596.39,-0.41752917,0.5225339,0.7320344,0.12943517,4.99,3.3054001,0.4156,0
0,1553.66,-565.25,662.15,446.22,1912.89,574.11,-0.49998897,0.48731652,0.6982739,0.15794675,4.99,3.3054001,0.4156,0
0,1568.53,-501.53,680.83,445.74,1910.93,551.86,-0.5774477,0.44723302,0.65754014,0.18487225,4.99,3.3054001,0.4156,0
0,1575.95,-469.69,689.89,445.5,1909.95,540.74,-0.61406237,0.4254865,0.634681,0.19765802,4.99,3.3054001,0.4156,0
0,1590.79,-406.07,707.45,445.02,1907.99,518.51,0.6825925,-0.3788591,-0.5842722,-0.22171889,4.99,3.3054001,0.4156,0
0,1605.62,-342.51,724.27,444.54,1906.03,496.31,0.74430484,-0.32844996,-0.52802044,-0.2435679,4.99,3.3054001,0.4156,0
0,1620.42,-279.01,740.35,444.06,1904.07,474.13,0.798586,-0.27474993,-0.46649253,-0.26297846,4.99,3.3054001,0.4156,0
0,1635.22,-215.58,755.69,443.58,1902.11,451.97,0.84488684,-0.21830398,-0.4003035,-0.2797617,4.99,3.3054001,0.4156,0
0,1649.99,-152.22,770.29,443.1,1900.15,429.84,0.88274264,-0.15968387,-0.33011696,-0.2937505,4.99,3.3054001,0.4156,0
0,1672.13,-57.3,790.82,442.38,1897.21,396.68,0.92289364,-0.06894845,-0.21888661,-0.30919585,4.99,3.3054001,0.4156,0
0,1690.54,21.69,806.66,441.78,1894.76,369.08,0.9405479,0.007938443,-0.12232478,-0.3167702,4.99,3.3054001,0.4156,0
0,1705.26,84.81,818.5,441.3,1892.84,347.04,0.9441073,0.0694178,-0.043630585,-0.31927878,4.99,3.3054001,0.4156,0
0,1719.96,147.87,829.61,440.82,1890.92,325.01,0.9382342,0.13019583,0.035500627,-0.31859902,4.99,3.3054001,0.4156,0
0,1741.98,242.33,844.9,440.1,1888.04,292.01,0.91189516,0.21874635,0.15328024,-0.31161273,4.99,3.3054001,0.4156,0
0,1756.64,305.23,854.18,439.62,1886.12,270.05,0.8829022,0.2751707,0.23005384,-0.30305114,4.99,3.3054001,0.4156,0
0,1756.64,305.23,854.18,439.62,1886.12,270.05,0.8829022,0.2751707,0.23005384,-0.30305114,4.99,3.3054001,0.4156,0
0,1785.92,430.83,870.53,438.66,1882.28,226.18,0.79882485,0.37923676,0.3759621,-0.2769672,4.99,3.3054001,0.4156,0
0,1800.52,493.53,877.61,438.18,1880.36,204.27,0.7445856,0.42583716,0.4436347,-0.25969842,4.99,3.3054001,0.4156,0
